customer_id,company_name,industry,company_size,registration_date,email,phone_number,subscription_plan
1,Wright PLC,Entertainment,Small size,2023-12-26,yrogers@jimenez.com,+1-242-743-8842x46517,Individual pro
2,"Perez, Reynolds and Smith",Retail,Medium size,2023-01-05,bethsmith@kim-white.biz,(688)202-5960x36575,Free
3,Taylor-Hayes,Finance,Medium size,2023-12-21,rojasdavid@hudson.com,2379222742,Individual pro
4,Love-Bird,Entertainment,Medium size,2024-03-14,johnsonhaley@singh.com,(697)956-3025,Individual pro
5,Kim-Morris,Education,Medium size,2023-04-26,jsloan@kane.info,001-254-778-0918,Individual pro
6,Morgan Ltd,Entertainment,Medium size,2024-10-24,michael57@lopez.com,261.952.9085x28447,Business pro
7,"Lang, Johnson and Kelly",Technology,Medium size,2023-06-29,sullivantracey@adams.com,735.739.9493x4563,Business pro
8,Tran PLC,Entertainment,Medium size,2023-09-20,wayne04@reed.com,799-309-2087,Business pro
9,Anderson-Jones,Technology,Small size,2024-02-02,nathan42@greene.com,352.700.1629,Free
10,Chapman-Vincent,Manufacturing,Medium size,2023-01-20,scarlson@anderson.biz,4465905169,Business pro
11,"Carter, Martin and Wilkins",Healthcare,Medium size,2023-09-13,caroljohnson@bates.com,992.660.5160,Business pro
12,"Sanders, Clayton and Anderson",Finance,Medium size,2024-11-15,thomas81@hess.com,(500)316-8995,Business pro
13,Gonzalez LLC,Entertainment,Medium size,2023-07-21,omoss@harrell-roberts.net,001-938-253-9469x33241,Individual pro
14,Andrews-Barton,Retail,Medium size,2024-07-05,markhouston@cannon.com,001-743-203-5146x92637,Business pro
15,"Smith, Wells and Richmond",Technology,Medium size,2023-04-17,kavila@palmer.com,(426)267-0125x794,Individual pro
16,West Inc,Education,Small size,2023-07-14,toddwalker@wallace-estrada.info,211.990.0572x08541,Individual pro
17,Davies Inc,Education,Medium size,2023-12-12,randy16@sanchez-bennett.biz,748-897-6859x211,Business pro
18,"Sanchez, Johnson and Herman",Education,Small size,2023-02-05,toni81@lane-nguyen.com,+1-617-842-4167x137,Individual pro
19,Perry-Wallace,Technology,Small size,2024-09-26,iford@cooper.com,+1-354-942-4904,Free
20,"Alvarez, Valencia and Novak",Manufacturing,Medium size,2023-01-04,lvazquez@castro-brown.com,317-777-5101x78240,Free
21,"Sosa, Johnson and Williams",Manufacturing,Medium size,2024-12-07,flong@ramos-foster.com,+1-413-812-2518,Business pro
22,Schultz-Blackwell,Healthcare,Small size,2023-05-31,warescott@reid.com,001-299-619-0740,Free
23,Schroeder PLC,Manufacturing,Medium size,2024-06-09,alexandrarollins@fleming-lin.info,(709)769-9755x3049,Individual pro
24,Hughes-Kelley,Technology,Medium size,2023-10-19,whitedonna@kim-patel.info,001-755-333-1696x28163,Business pro
25,Martinez and Sons,Education,Small size,2023-08-16,krausedennis@avery.biz,001-509-214-2241x1125,Free
26,Reed-Marsh,Education,Small size,2024-03-21,lewisnancy@reilly.org,567.995.6218x519,Business pro
27,"Williams, Middleton and Smith",Healthcare,Small size,2023-12-13,qthomas@jordan.biz,260.502.1474x216,Free
28,Brown-Robinson,Entertainment,Medium size,2023-10-05,xstanley@arnold-martinez.com,974.316.9504x9239,Business pro
29,Douglas Ltd,Education,Medium size,2023-01-21,katie20@garcia.org,(213)330-8593x3736,Business pro
30,"Velasquez, Shepard and Payne",Manufacturing,Medium size,2024-12-09,jeanette13@shepard.biz,+1-289-679-3452x46840,Business pro
31,Jones-Mejia,Education,Small size,2024-08-07,jennifervaldez@hughes.com,001-843-379-5910x02278,Free
32,Adams-Moreno,Manufacturing,Small size,2023-05-15,sjackson@richards.com,(553)820-0214x73464,Business pro
33,"Mckinney, Cole and Walker",Finance,Medium size,2023-06-09,tthompson@davis.info,+1-768-689-3897x6671,Business pro
34,Gates-West,Retail,Medium size,2023-12-07,ygross@mcintyre.com,665-223-7933,Business pro
35,Ayala PLC,Healthcare,Medium size,2023-03-26,brandyyoung@thompson.com,001-883-659-0451x18703,Individual pro
36,Conrad Ltd,Healthcare,Small size,2024-01-22,matthew77@doyle-banks.com,311-585-6417,Individual pro
37,Garza-Berger,Healthcare,Small size,2024-12-09,youngrichard@blair-wong.com,+1-792-220-5869x55819,Individual pro
38,Roberts Inc,Manufacturing,Medium size,2024-08-21,sanchezshaun@yates.com,+1-355-728-1363x36901,Business pro
39,Powell-Martin,Education,Medium size,2024-01-06,fanderson@nelson-hawkins.com,841.963.4006x1336,Business pro
40,Levy Ltd,Entertainment,Medium size,2024-08-21,rachel41@collier.biz,(330)403-1935,Individual pro
41,Robinson Ltd,Entertainment,Medium size,2024-01-06,yross@moore-beck.com,333.871.6495x903,Individual pro
42,"Mendez, Johnson and Torres",Finance,Small size,2024-03-18,dennis23@shelton-joseph.com,+1-772-302-1461x841,Free
43,Cobb and Sons,Manufacturing,Medium size,2023-10-26,debra51@wilson.com,490.906.1568x3782,Business pro
44,Martin Inc,Retail,Medium size,2024-06-24,hamptonsteven@weaver-cruz.com,878.924.6914,Business pro
45,Hughes-Cobb,Education,Small size,2024-10-03,swansongabriel@perry-lucas.com,(955)941-4923x897,Free
46,"Clark, Brown and Adams",Retail,Medium size,2023-11-27,tylerrobinson@levine-brady.com,5404440692,Individual pro
47,"Scott, Fuentes and Gardner",Education,Medium size,2024-03-04,xpatton@anderson.com,441-626-7615x918,Business pro
48,Reyes LLC,Healthcare,Medium size,2024-12-08,tinawest@white.com,6436579793,Individual pro
49,Myers-Rich,Technology,Medium size,2023-09-14,aprilharrell@bond.biz,246-792-1057,Business pro
50,"Stafford, Manning and Brown",Education,Medium size,2024-06-25,john45@williams.com,253-693-3769x11613,Individual pro
51,Richardson-Carter,Entertainment,Medium size,2024-09-01,samantha81@jones-heath.com,(306)901-1642x2232,Individual pro
52,"Lucas, Wagner and Hansen",Healthcare,Medium size,2024-08-06,bdavis@ramos.com,294.736.4527x21221,Business pro
53,Jenkins Group,Healthcare,Medium size,2024-08-23,angela61@haley.com,628-250-3637,Free
54,"Dickerson, Bryant and Rodriguez",Finance,Medium size,2023-06-26,grantwilliam@hicks.org,710-969-1347,Individual pro
55,Barrera-Mullen,Manufacturing,Medium size,2023-03-14,lwalton@sanders-taylor.com,(247)853-4687x4947,Individual pro
56,"Davis, Evans and Jones",Education,Medium size,2024-12-06,carlos88@gray.com,(922)757-4797,Individual pro
57,"Kirby, Delgado and Ellis",Manufacturing,Medium size,2024-03-02,tracynavarro@pacheco.com,+1-329-465-7009x50202,Business pro
58,Davis-Cohen,Healthcare,Medium size,2024-05-27,qgonzalez@jones.com,(593)953-3066,Business pro
59,Garcia PLC,Technology,Medium size,2024-02-25,hamiltonkathleen@mueller.biz,001-340-620-9080x847,Business pro
60,Chen-Avila,Manufacturing,Medium size,2023-01-11,xmedina@edwards.info,482.788.6684x76144,Business pro
61,"Ramirez, Walker and Bowers",Retail,Medium size,2024-02-14,jeffrey94@estes.org,9286055422,Free
62,Dominguez Ltd,Healthcare,Medium size,2024-05-09,matthewalexander@rowland.info,844.711.2294x182,Individual pro
63,"Allen, Scott and Chandler",Technology,Medium size,2023-06-28,melissa85@hernandez.com,881.371.5841,Individual pro
64,Carter-Smith,Manufacturing,Medium size,2024-07-29,matthewwarren@morgan-taylor.biz,(663)603-6223x9184,Free
65,Nichols-Smith,Healthcare,Medium size,2023-09-10,nicole76@edwards-camacho.com,254.875.6669x4998,Individual pro
66,"Lopez, Owen and Davis",Manufacturing,Medium size,2024-03-19,sclark@orr.com,540.919.9564,Free
67,Williams PLC,Education,Medium size,2024-02-02,williamsjoel@palmer.com,+1-937-596-9868,Business pro
68,Martinez-Wolfe,Entertainment,Medium size,2023-11-17,kelseyhoward@rodriguez.com,(427)416-6345,Business pro
69,"Green, Graham and Key",Technology,Medium size,2023-08-26,jonathanjohnson@kelly-smith.com,583.501.9267x80797,Individual pro
70,Stafford PLC,Manufacturing,Medium size,2023-06-18,utodd@mcdonald.org,001-817-307-5079,Business pro
